time(ms),accel_x(m/s^2),accel_y(m/s^2),accel_z(m/s^2),gyro_x(rad/s),gyro_y(rad/s),gyro_z(rad/s),mag_x(uT),mag_y(uT),mag_z(uT),orientation_x(degrees),orientation_y(degrees),orientation_z(degrees)
1666,0.51,-4.89,8.05,-0.19,0.06,-0.12,-7.06,62.56,7.88,0.0,3.13,31.25
1685,0.51,-4.9,8.05,-0.06,-0.06,0.12,-5.88,63.38,7.06,0.0,3.13,31.25
1704,0.51,-4.9,8.06,0.06,0.0,0.06,-5.88,63.38,7.06,0.0,3.13,31.25
1725,0.5,-4.89,8.05,0.06,-0.19,0.06,-5.88,63.38,7.06,0.0,3.13,31.25
1744,0.5,-4.9,8.05,0.06,0.0,-0.06,-5.19,62.25,9.06,0.0,3.13,31.25
1763,0.52,-4.9,8.06,-0.06,-0.12,0.0,-5.19,62.25,9.06,0.0,3.13,31.25
1782,0.51,-4.91,8.06,0.12,-0.37,0.06,-5.19,62.25,9.06,0.0,3.13,31.25
1803,0.51,-4.89,8.07,0.12,-0.19,0.06,-6.25,62.25,8.69,0.0,3.13,31.25
1823,0.51,-4.88,8.05,0.06,-0.06,0.06,-6.25,62.25,8.69,0.0,3.13,31.25
1843,0.51,-4.9,8.09,0.12,-0.12,-0.19,-7.38,64.06,9.5,0.0,3.13,31.25
1863,0.52,-5.05,8.32,-0.25,0.0,0.0,-7.38,64.06,9.5,0.0,3.13,31.25
1883,0.52,-5.04,8.34,-0.12,0.12,0.12,-7.38,64.06,9.5,0.0,3.13,31.25
1903,0.53,-5.08,8.34,-0.06,0.12,0.06,-7.75,63.0,7.5,0.0,3.13,31.25
1924,0.54,-5.07,8.35,-0.06,0.06,0.12,-7.75,63.0,7.5,0.0,3.13,31.25
1944,0.5,-5.07,8.32,0.06,0.06,-0.06,-7.06,63.0,7.88,0.0,3.13,31.25
1965,0.52,-5.05,8.35,0.12,-0.25,0.06,-7.06,63.0,7.88,0.0,3.13,31.25
1983,0.52,-5.06,8.35,0.06,-0.25,-0.06,-6.69,63.38,7.88,0.0,3.13,31.25
2003,0.53,-5.08,8.32,-0.19,-0.06,0.0,-6.69,63.38,7.88,0.0,3.13,31.25
2024,0.52,-5.08,8.33,0.0,-0.12,-0.12,-6.69,63.38,7.88,0.0,3.13,31.25
2044,0.54,-5.06,8.36,0.12,-0.06,-0.12,-8.19,63.0,8.25,0.0,3.13,31.25
2064,0.55,-5.07,8.35,0.0,0.12,0.06,-8.19,63.0,8.25,0.0,3.13,31.25
2083,0.52,-5.07,8.37,-0.06,0.25,-0.06,-7.75,63.38,7.06,0.0,3.13,31.25
2103,0.51,-5.07,8.36,-0.25,0.12,0.06,-7.75,63.38,7.06,0.0,3.13,31.25
2123,0.53,-5.07,8.34,0.0,-0.19,0.06,-7.75,63.38,7.06,0.0,3.13,31.25
2144,0.53,-5.07,8.33,-0.06,-0.06,0.06,-7.38,62.56,9.5,0.0,3.13,31.25
2163,0.53,-5.05,8.31,-0.31,0.12,0.06,-7.38,62.56,9.5,0.0,3.13,31.25
2182,0.52,-5.08,8.32,-0.12,0.19,0.06,-7.38,62.56,9.5,0.0,3.13,31.25
2203,0.54,-5.08,8.34,0.12,-0.31,-0.12,-5.56,63.75,7.5,0.0,3.13,31.25
2224,0.54,-5.06,8.34,0.06,-0.31,0.0,-5.56,63.75,7.5,0.0,3.13,31.25
2243,0.53,-5.07,8.34,-0.25,-0.19,0.06,-7.75,63.75,8.69,0.0,3.13,31.25
2264,0.51,-5.05,8.3,0.0,0.19,0.0,-7.75,63.75,8.69,0.0,3.13,31.25
2283,0.53,-5.07,8.35,0.12,-0.31,0.06,-8.56,62.56,6.69,0.0,3.13,31.25
2304,0.55,-5.05,8.36,0.25,-0.12,0.0,-8.56,62.56,6.69,0.0,3.13,31.25
2324,0.54,-5.06,8.37,-0.12,-0.06,0.06,-8.56,62.56,6.69,0.0,3.13,31.25
2344,0.52,-5.05,8.31,-0.19,0.0,0.06,-7.38,64.06,8.69,0.0,3.13,31.25
2364,0.52,-5.07,8.34,0.0,0.0,0.06,-7.38,64.06,8.69,0.0,3.13,31.25
2383,0.53,-5.06,8.34,-0.06,0.19,0.0,-7.06,63.75,7.88,0.0,3.13,31.25
2404,0.54,-5.07,8.36,-0.06,0.19,-0.06,-7.06,63.75,7.88,0.0,3.13,31.25
2423,0.53,-5.06,8.35,-0.06,0.0,0.0,-7.06,63.75,7.88,0.0,3.13,31.25
2444,0.52,-5.06,8.33,-0.06,0.19,0.0,-6.69,63.38,8.25,0.0,3.13,31.25
2463,0.53,-5.06,8.34,0.06,0.0,0.06,-6.69,63.38,8.25,0.0,3.13,31.25
2482,0.51,-5.07,8.33,0.0,0.0,0.06,-6.69,63.38,8.25,0.0,3.13,31.25
2501,0.53,-5.06,8.3,0.06,-0.06,0.06,-7.38,62.56,7.5,0.0,3.13,31.25
2523,0.56,-5.06,8.35,-0.06,0.0,0.0,-7.38,62.56,7.5,0.0,3.13,31.25
2543,0.53,-5.05,8.31,-0.25,0.19,0.12,-6.69,61.5,7.88,0.0,3.13,31.25
2564,0.51,-5.07,8.31,-0.06,0.44,0.0,-6.69,61.5,7.88,0.0,3.13,31.25
2583,0.53,-5.08,8.38,-0.19,-0.19,0.0,-7.38,61.06,7.88,0.0,3.13,31.25
2604,0.52,-5.07,8.33,-0.06,0.06,0.0,-7.38,61.06,7.88,0.0,3.13,31.25
2624,0.52,-5.06,8.33,0.06,0.12,-0.06,-7.38,61.06,7.88,0.0,3.13,31.25
2644,0.53,-5.06,8.34,-0.12,-0.12,0.06,-8.88,62.56,7.5,0.0,3.13,31.25
2664,0.54,-5.08,8.32,0.0,-0.12,0.0,-8.88,62.56,7.5,0.0,3.13,31.25
2683,0.51,-5.06,8.34,0.0,0.19,0.06,-5.88,63.0,8.69,0.0,3.13,31.25
2704,0.53,-5.05,8.34,0.0,0.06,0.25,-5.88,63.0,8.69,0.0,3.13,31.25
2724,0.54,-5.06,8.35,0.12,0.0,0.06,-5.88,63.0,8.69,0.0,3.13,31.25
2744,0.51,-5.05,8.34,0.19,-0.25,0.12,-5.88,62.25,8.25,0.0,3.13,31.25
2764,0.53,-5.05,8.37,-0.19,0.19,-0.12,-5.88,62.25,8.25,0.0,3.13,31.25
2783,0.52,-5.06,8.35,-0.12,0.25,0.06,-5.88,62.25,8.25,0.0,3.13,31.25
2803,0.51,-5.07,8.34,0.0,0.12,0.0,-7.06,61.88,7.06,0.0,3.13,31.25
2824,0.53,-5.07,8.35,-0.12,0.06,0.0,-7.06,61.88,7.06,0.0,3.13,31.25
2844,0.52,-5.05,8.35,0.06,0.0,0.19,-7.38,63.38,9.5,0.0,3.13,31.25
2865,0.53,-5.05,8.32,0.0,0.0,0.06,-7.38,63.38,9.5,0.0,3.13,31.25
2883,0.53,-5.07,8.34,-0.06,0.0,-0.06,-7.38,63.38,9.5,0.0,3.13,31.25
2904,0.51,-5.07,8.33,0.12,-0.37,0.0,-5.88,62.56,7.5,0.0,3.13,31.25
2924,0.54,-5.06,8.37,0.06,-0.25,-0.19,-5.88,62.56,7.5,0.0,3.13,31.25
2945,0.54,-5.04,8.33,-0.06,0.25,-0.19,-7.06,61.88,8.25,0.0,3.13,31.25
2964,0.53,-5.07,8.3,-0.06,0.0,-0.06,-7.06,61.88,8.25,0.0,3.13,31.25
2983,0.52,-5.07,8.34,0.25,-0.06,-0.19,-7.06,63.75,7.5,0.0,3.13,31.25
