Roll,Pitch,Yaw
0.00703017,-0.0209178,179.998
0.000173137,0.000528618,179.996
-0.00676736,0.0218914,179.998
-0.0134021,0.0432713,179.999
-0.0206412,0.0643643,180
-0.0289938,0.0849908,179.998
-0.0411024,0.103678,179.995
-0.0216326,0.0929789,179.996
-0.0426576,0.0845215,179.997
-0.0263741,0.0992965,179.995
-0.0111975,0.115285,179.996
-0.0239583,0.0966953,179.997
-0.0338343,0.0764857,179.998
-0.0440478,0.0564858,179.999
-0.0370967,0.077649,179.997
-0.0433941,0.0561758,179.996
-0.0371604,0.0775909,179.997
-0.031819,0.0992479,179.999
-0.0267138,0.120874,179.997
-0.0318227,0.0992244,179.993
-0.0287527,0.0786963,180.002
-0.0394899,0.0849838,180.021
-0.0364935,0.0644996,180.03
-0.0307731,0.0434557,180.024
-0.0400151,0.0626826,180.018
-0.0598146,0.0645353,180.008
-0.0737433,0.0480244,180.002
-0.0811137,0.0272993,180.005
-0.0750327,0.0490473,180.002
-0.069116,0.0708104,180.004
-0.0642844,0.0927462,180.001
-0.0692267,0.0715412,179.996
-0.0713827,0.0499116,180
-0.0774798,0.0706885,180.006
-0.0895492,0.0887632,180.012
-0.107169,0.101687,180.017
-0.126086,0.112989,180.012
-0.147873,0.116075,180.016
-0.169504,0.120609,180.012
-0.189232,0.130599,180.008
-0.202492,0.148365,180.005
-0.20972,0.169253,180.007
-0.21207,0.191167,180.005
-0.20663,0.212412,180.003
-0.224074,0.198281,179.999
-0.203001,0.204373,179.996
-0.222678,0.193193,179.994
-0.241855,0.180984,179.992
-0.259877,0.166904,179.993
-0.278835,0.154044,179.992
-0.258865,0.162882,179.993
-0.279963,0.154003,179.991
-0.302471,0.150707,179.993
-0.28268,0.140729,179.99
-0.276415,0.118817,179.993
-0.283017,0.0966576,179.99
-0.29539,0.0771643,179.993
-0.278661,0.0907079,179.996
-0.300741,0.0847942,179.994
-0.321238,0.0949144,179.992
-0.307781,0.0775767,179.991
-0.313991,0.0989558,179.993
-0.312589,0.076251,179.992
-0.316396,0.0536072,179.993
-0.326044,0.0327483,179.994
-0.341655,0.0163064,179.994
-0.36217,0.00792811,179.992
-0.383982,0.00896022,179.99
-0.361838,0.00341119,179.99
-0.340997,-0.00535275,179.991
-0.319996,-0.0131873,179.989
-0.340357,-0.00348947,179.988
-0.318738,-0.00836054,179.989
-0.296496,-0.00851958,179.988
-0.318871,-0.0103819,179.987
-0.339929,-0.0178154,179.989
-0.320503,-0.00665716,179.988
-0.302622,0.00684445,179.988
-0.320762,-0.00624738,179.988
-0.336438,-0.0221897,179.99
-0.324888,-0.00308905,179.99
-0.334504,-0.0233549,179.989
-0.327806,-0.00216427,179.991
-0.334534,-0.0236117,179.99
-0.341669,-0.0448891,179.992
-0.334637,-0.023743,179.991
-0.325041,-0.00357675,179.99
-0.339589,-0.0203893,179.989
-0.358215,-0.0323668,179.988
-0.379513,-0.0383134,179.987
-0.401658,-0.0383209,179.986
-0.379837,-0.0434358,179.988
-0.359708,-0.052908,179.99
-0.378581,-0.040518,179.992
-0.360652,-0.0531601,179.994
-0.343317,-0.0663799,179.994
-0.326766,-0.0803673,179.993
-0.310999,-0.0950911,179.992
-0.328284,-0.0798605,179.992
-0.310552,-0.092352,179.991
-0.292097,-0.103952,179.995
-0.274627,-0.117107,179.998
-0.257688,-0.131089,180.002
-0.272554,-0.114204,180.006
-0.258285,-0.131178,180.005
-0.243387,-0.147598,180.005
-0.223204,-0.156422,180.003
-0.2086,-0.139802,180.007
-0.212593,-0.117787,180.01
-0.227389,-0.101163,180.007
-0.247928,-0.109284,180.005
-0.260474,-0.127359,180.003
-0.270659,-0.146686,180.002
-0.281712,-0.165188,180.006
-0.291943,-0.183825,180.005
-0.278875,-0.164522,180.005
-0.290017,-0.182438,180.005
-0.304225,-0.197984,180.012
-0.289513,-0.180357,180.02
-0.276769,-0.161785,180.03
-0.285912,-0.181983,180.033
-0.294434,-0.203068,180.037
-0.305101,-0.223505,180.041
-0.290348,-0.209389,180.045
-0.302666,-0.229495,180.061
-0.313844,-0.250611,180.078
-0.30039,-0.236302,180.095
-0.288122,-0.220832,180.098
-0.298088,-0.2405,180.101
-0.30901,-0.258161,180.103
-0.320361,-0.273399,180.122
-0.302005,-0.261628,180.119
-0.280047,-0.25507,180.117
-0.257795,-0.251796,180.133
-0.276901,-0.247966,180.13
-0.295951,-0.248081,180.146
-0.275397,-0.240721,180.161
-0.293328,-0.245013,180.176
-0.273988,-0.236362,180.192
-0.254079,-0.232145,180.207
-0.273289,-0.227051,180.2
-0.255666,-0.231936,180.215
-0.274859,-0.222233,180.208
-0.255458,-0.221291,180.222
-0.236138,-0.219403,180.214
-0.217168,-0.219563,180.206
-0.236068,-0.213805,180.222
-0.253587,-0.203483,180.213
-0.270942,-0.190977,180.205
-0.260755,-0.201871,180.222
-0.252393,-0.214965,180.212
-0.266786,-0.201425,180.204
-0.286887,-0.19586,180.197
-0.275572,-0.209877,180.212
-0.28375,-0.191014,180.206
-0.289424,-0.171169,180.201
-0.288418,-0.190607,180.194
-0.288772,-0.210033,180.184
-0.290516,-0.190584,180.172
-0.293347,-0.17143,180.179
-0.292226,-0.191716,180.187
-0.29551,-0.174142,180.199
-0.296455,-0.193909,180.209
-0.297062,-0.213966,180.201
-0.295639,-0.233285,180.214
-0.301974,-0.212978,180.227
-0.288991,-0.226191,180.24
-0.274779,-0.210597,180.251
-0.282902,-0.227783,180.262
-0.291002,-0.245437,180.272
-0.307371,-0.256584,180.283
-0.319156,-0.240806,180.274
-0.311069,-0.259138,180.265
-0.307326,-0.278361,180.257
-0.308047,-0.258565,180.269
-0.302606,-0.24194,180.285
-0.317376,-0.248569,180.271
-0.30142,-0.240413,180.285
-0.286061,-0.22698,180.296
-0.276109,-0.209666,180.286
-0.269685,-0.190741,180.298
-0.268295,-0.172,180.312
-0.268596,-0.180099,180.291
-0.271719,-0.196676,180.277
-0.290364,-0.192121,180.267
-0.269839,-0.194635,180.278
-0.248565,-0.196554,180.288
-0.267493,-0.197612,180.297
-0.246742,-0.194005,180.286
-0.263851,-0.202736,180.275
-0.25238,-0.18637,180.283
-0.248552,-0.20611,180.27
-0.229982,-0.200955,180.279
-0.211509,-0.210229,180.267
-0.225229,-0.207909,180.248
-0.232483,-0.207709,180.225
-0.220455,-0.224041,180.211
-0.235778,-0.220526,180.195
-0.218053,-0.219855,180.208
-0.235474,-0.22682,180.219
-0.254431,-0.232331,180.229
-0.235213,-0.233523,180.217
-0.25498,-0.235248,180.227
-0.27503,-0.234861,180.236
-0.295117,-0.23311,180.246
-0.31534,-0.236575,180.234
-0.296373,-0.23938,180.223
-0.277622,-0.241399,180.21
-0.2597,-0.246357,180.197
-0.279854,-0.247741,180.186
-0.299954,-0.250792,180.174
-0.285956,-0.26597,180.162
-0.295843,-0.251518,180.173
-0.307895,-0.240216,180.186
-0.324515,-0.235015,180.199
-0.308717,-0.240957,180.183
-0.290571,-0.243976,180.194
-0.305487,-0.23126,180.202
-0.302838,-0.251645,180.189
-0.302616,-0.272186,180.177
-0.300689,-0.255686,180.189
-0.300322,-0.251198,180.21
-0.309934,-0.24618,180.229
-0.304021,-0.23636,180.247
-0.316556,-0.250678,180.234
-0.30019,-0.242833,180.221
-0.318393,-0.251208,180.233
-0.338625,-0.255992,180.242
-0.359287,-0.256603,180.252
-0.379917,-0.255663,180.262
-0.39938,-0.261146,180.252
-0.380513,-0.258702,180.241
-0.399104,-0.266847,180.231
-0.416921,-0.256812,180.241
-0.39984,-0.248514,180.231
-0.383121,-0.241936,180.22
-0.363842,-0.242097,180.229
-0.385396,-0.239811,180.237
